ncells,model,k50
100,cellot,0.6102
100,cellot,0.5566666666666666
100,cellot,0.5908
100,cellot,0.5545454545454546
100,cellot,0.5978
100,cellot,0.5693939393939393
100,cellot,0.5426
100,cellot,0.5219191919191919
100,cellot,0.6098
100,cellot,0.5667676767676768
100,cellot,0.5764
100,cellot,0.5415151515151515
100,cellot,0.6616
100,cellot,0.6013131313131314
100,cellot,0.63
100,cellot,0.5995959595959596
100,cellot,0.6164
100,cellot,0.5688888888888889
100,cellot,0.6036
100,cellot,0.5695959595959595
250,cellot,0.62296
250,cellot,0.6032
250,cellot,0.68368
250,cellot,0.6624
250,cellot,0.67304
250,cellot,0.6558
250,cellot,0.66144
250,cellot,0.63792
250,cellot,0.69456
250,cellot,0.65348
250,cellot,0.67136
250,cellot,0.65168
250,cellot,0.63944
250,cellot,0.6164
250,cellot,0.63848
250,cellot,0.63716
250,cellot,0.67824
250,cellot,0.6472
250,cellot,0.6476
250,cellot,0.61056
500,cellot,0.67816
500,cellot,0.66592
500,cellot,0.69188
500,cellot,0.66758
500,cellot,0.67376
500,cellot,0.66544
500,cellot,0.67868
500,cellot,0.66438
500,cellot,0.6852
500,cellot,0.66798
500,cellot,0.69528
500,cellot,0.67622
500,cellot,0.6452
500,cellot,0.63958
500,cellot,0.66608
500,cellot,0.63924
500,cellot,0.67508
500,cellot,0.6489
500,cellot,0.68396
500,cellot,0.65988
