ncells,nfeatures,metric,value
100,all,l2-means,9.591090202331543
100,all,l2-stds,18.051944732666016
100,all,r2-means,0.8069206653619343
100,all,r2-stds,0.7283641320665171
100,all,r2-pairwise_feat_corrs,0.010809433126750539
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,9.19594955444336
100,all,l2-stds,16.20808219909668
100,all,r2-means,0.8227632616615583
100,all,r2-stds,0.7505960338722667
100,all,r2-pairwise_feat_corrs,0.013625305389049209
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,8.995962142944336
100,all,l2-stds,21.18234634399414
100,all,r2-means,0.8171451840985492
100,all,r2-stds,0.7051007529086354
100,all,r2-pairwise_feat_corrs,0.008462169070393433
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,9.049118041992188
100,all,l2-stds,16.678913116455078
100,all,r2-means,0.8296890964818625
100,all,r2-stds,0.7262918402155506
100,all,r2-pairwise_feat_corrs,0.01132080175109463
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,8.845446586608887
100,all,l2-stds,18.221221923828125
100,all,r2-means,0.8278918104799851
100,all,r2-stds,0.719424426140685
100,all,r2-pairwise_feat_corrs,0.012304663474507508
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,9.352465629577637
100,all,l2-stds,19.996253967285156
100,all,r2-means,0.8164702909459359
100,all,r2-stds,0.7132041635075248
100,all,r2-pairwise_feat_corrs,0.008708115586065655
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,10.749692916870117
100,all,l2-stds,19.35623550415039
100,all,r2-means,0.7698573530995857
100,all,r2-stds,0.7170236809517706
100,all,r2-pairwise_feat_corrs,0.011576380741904297
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,9.964889526367188
100,all,l2-stds,18.272825241088867
100,all,r2-means,0.7991240777958525
100,all,r2-stds,0.7212379664735903
100,all,r2-pairwise_feat_corrs,0.012259324183133328
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,10.109195709228516
100,all,l2-stds,18.8524112701416
100,all,r2-means,0.7939113510999208
100,all,r2-stds,0.719211568277578
100,all,r2-pairwise_feat_corrs,0.010833987296680812
100,all,l2-pairwise_feat_corrs,
100,all,l2-means,9.448539733886719
100,all,l2-stds,14.174978256225586
100,all,r2-means,0.8172933436007777
100,all,r2-stds,0.7556533172747611
100,all,r2-pairwise_feat_corrs,0.013548868285754908
100,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.080720901489258
250,all,l2-stds,17.20094108581543
250,all,r2-means,0.8244186969407548
250,all,r2-stds,0.7350026701732209
250,all,r2-pairwise_feat_corrs,0.012802139705460595
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.126699447631836
250,all,l2-stds,19.872638702392578
250,all,r2-means,0.8257840600618327
250,all,r2-stds,0.7210653767451993
250,all,r2-pairwise_feat_corrs,0.01005145446062787
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,8.927435874938965
250,all,l2-stds,17.061281204223633
250,all,r2-means,0.8276199789383212
250,all,r2-stds,0.7411189022339585
250,all,r2-pairwise_feat_corrs,0.012109673246117303
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.343972206115723
250,all,l2-stds,17.489126205444336
250,all,r2-means,0.8191338483534243
250,all,r2-stds,0.7356438273334341
250,all,r2-pairwise_feat_corrs,0.012353995648637765
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,8.81410026550293
250,all,l2-stds,17.19504165649414
250,all,r2-means,0.8309496663828483
250,all,r2-stds,0.7413915416345264
250,all,r2-pairwise_feat_corrs,0.011856454222941524
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.2656888961792
250,all,l2-stds,17.230762481689453
250,all,r2-means,0.8234420569216919
250,all,r2-stds,0.7493437310832065
250,all,r2-pairwise_feat_corrs,0.013197712425660507
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.289894104003906
250,all,l2-stds,17.0842342376709
250,all,r2-means,0.8180582286179521
250,all,r2-stds,0.7400595126722779
250,all,r2-pairwise_feat_corrs,0.011879260352292262
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.057210922241211
250,all,l2-stds,17.740699768066406
250,all,r2-means,0.8278191178675746
250,all,r2-stds,0.7329890929445996
250,all,r2-pairwise_feat_corrs,0.012577365820007128
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.641058921813965
250,all,l2-stds,19.260282516479492
250,all,r2-means,0.8046956723238867
250,all,r2-stds,0.7236035460731438
250,all,r2-pairwise_feat_corrs,0.011763825098605884
250,all,l2-pairwise_feat_corrs,
250,all,l2-means,9.780763626098633
250,all,l2-stds,18.414602279663086
