model,ncells,nfeatures,metric,value,gamma
cellot,100,all,l2-means,0.2257505059242248,0
cellot,100,all,l2-stds,0.5168958306312561,0
cellot,100,all,r2-means,0.9285008798659186,0
cellot,100,all,r2-stds,0.8493674282339402,0
cellot,100,all,r2-pairwise_feat_corrs,0.2448187741981026,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0130103712319396,0
cellot,100,all,enrichment-k50,0.6102,0
cellot,100,all,enrichment-k100,0.5566666666666666,0
cellot,100,all,l2-means,0.2300185561180114,0
cellot,100,all,l2-stds,0.5586228966712952,0
cellot,100,all,r2-means,0.9322586964736636,0
cellot,100,all,r2-stds,0.8917543876981918,0
cellot,100,all,r2-pairwise_feat_corrs,0.2099226983762809,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0131209881720133,0
cellot,100,all,enrichment-k50,0.5908,0
cellot,100,all,enrichment-k100,0.5545454545454546,0
cellot,100,all,l2-means,0.2537591755390167,0
cellot,100,all,l2-stds,0.6894811987876892,0
cellot,100,all,r2-means,0.909883339585518,0
cellot,100,all,r2-stds,0.8036567971720631,0
cellot,100,all,r2-pairwise_feat_corrs,0.1915383964380485,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0146550564025528,0
cellot,100,all,enrichment-k50,0.5978,0
cellot,100,all,enrichment-k100,0.5693939393939393,0
cellot,100,all,l2-means,0.2469772100448608,0
cellot,100,all,l2-stds,0.5173014998435974,0
cellot,100,all,r2-means,0.945441068530833,0
cellot,100,all,r2-stds,0.8872223798627417,0
cellot,100,all,r2-pairwise_feat_corrs,0.2716710984784552,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0118419367540627,0
cellot,100,all,enrichment-k50,0.5426,0
cellot,100,all,enrichment-k100,0.5219191919191919,0
cellot,100,all,l2-means,0.2742462754249573,0
cellot,100,all,l2-stds,0.5748611688613892,0
cellot,100,all,r2-means,0.8969433051509704,0
cellot,100,all,r2-stds,0.815994763764544,0
cellot,100,all,r2-pairwise_feat_corrs,0.3263397077799504,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0149952887790277,0
cellot,100,all,enrichment-k50,0.6098,0
cellot,100,all,enrichment-k100,0.5667676767676768,0
cellot,100,all,l2-means,0.1869688332080841,0
cellot,100,all,l2-stds,0.5980257391929626,0
cellot,100,all,r2-means,0.9477510165995318,0
cellot,100,all,r2-stds,0.7876975409759017,0
cellot,100,all,r2-pairwise_feat_corrs,0.1857864035847637,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0114232400164473,0
cellot,100,all,enrichment-k50,0.5764,0
cellot,100,all,enrichment-k100,0.5415151515151515,0
cellot,100,all,l2-means,0.2283691018819809,0
cellot,100,all,l2-stds,0.5254678726196289,0
cellot,100,all,r2-means,0.9164425897566824,0
cellot,100,all,r2-stds,0.8780771102567378,0
cellot,100,all,r2-pairwise_feat_corrs,0.1938090031330896,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0184238462941721,0
cellot,100,all,enrichment-k50,0.6616,0
cellot,100,all,enrichment-k100,0.6013131313131314,0
cellot,100,all,l2-means,0.1700297445058822,0
cellot,100,all,l2-stds,0.6492235660552979,0
cellot,100,all,r2-means,0.9526964942642504,0
cellot,100,all,r2-stds,0.8063964827980189,0
cellot,100,all,r2-pairwise_feat_corrs,0.2993347744688355,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0154257781058549,0
cellot,100,all,enrichment-k50,0.63,0
cellot,100,all,enrichment-k100,0.5995959595959596,0
cellot,100,all,l2-means,0.1587152183055877,0
cellot,100,all,l2-stds,0.5872008800506592,0
cellot,100,all,r2-means,0.9630770983213944,0
cellot,100,all,r2-stds,0.821093153474522,0
cellot,100,all,r2-pairwise_feat_corrs,0.211611243229391,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0140601604268886,0
cellot,100,all,enrichment-k50,0.6164,0
cellot,100,all,enrichment-k100,0.5688888888888889,0
cellot,100,all,l2-means,0.2371962666511535,0
cellot,100,all,l2-stds,0.6564546227455139,0
cellot,100,all,r2-means,0.8866271549815964,0
cellot,100,all,r2-stds,0.7705001041892212,0
cellot,100,all,r2-pairwise_feat_corrs,0.16687153769284,0
cellot,100,all,l2-pairwise_feat_corrs,,0
cellot,100,all,mmd,0.0140285160858184,0
cellot,100,all,enrichment-k50,0.6036,0
cellot,100,all,enrichment-k100,0.5695959595959595,0
cellot,250,all,l2-means,0.1462024748325348,0
cellot,250,all,l2-stds,0.4461095929145813,0
cellot,250,all,r2-means,0.961994089463612,0
cellot,250,all,r2-stds,0.9098580615148862,0
cellot,250,all,r2-pairwise_feat_corrs,0.4633067805225448,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0078316369187086,0
cellot,250,all,enrichment-k50,0.62296,0
cellot,250,all,enrichment-k100,0.6032,0
cellot,250,all,l2-means,0.1539823859930038,0
cellot,250,all,l2-stds,0.4213952124118805,0
cellot,250,all,r2-means,0.9633289853155138,0
cellot,250,all,r2-stds,0.9327155165645848,0
cellot,250,all,r2-pairwise_feat_corrs,0.3939064730202952,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0102078922884538,0
cellot,250,all,enrichment-k50,0.68368,0
cellot,250,all,enrichment-k100,0.6624,0
cellot,250,all,l2-means,0.1730390340089798,0
cellot,250,all,l2-stds,0.4580298066139221,0
cellot,250,all,r2-means,0.9486302908246976,0
cellot,250,all,r2-stds,0.8821692573449177,0
cellot,250,all,r2-pairwise_feat_corrs,0.3245154308862211,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0090820643585175,0
cellot,250,all,enrichment-k50,0.67304,0
cellot,250,all,enrichment-k100,0.6558,0
cellot,250,all,l2-means,0.1373483091592788,0
cellot,250,all,l2-stds,0.4164787828922272,0
cellot,250,all,r2-means,0.9713940650433216,0
cellot,250,all,r2-stds,0.933294880730459,0
cellot,250,all,r2-pairwise_feat_corrs,0.4131173115197468,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0084584761201404,0
cellot,250,all,enrichment-k50,0.66144,0
cellot,250,all,enrichment-k100,0.63792,0
cellot,250,all,l2-means,0.1381057202816009,0
cellot,250,all,l2-stds,0.487317830324173,0
cellot,250,all,r2-means,0.9701472789262716,0
cellot,250,all,r2-stds,0.8961888449385981,0
cellot,250,all,r2-pairwise_feat_corrs,0.4313691074145732,0
cellot,250,all,l2-pairwise_feat_corrs,3.807092020454896,0
cellot,250,all,mmd,0.0101432533888146,0
cellot,250,all,enrichment-k50,0.69456,0
cellot,250,all,enrichment-k100,0.65348,0
cellot,250,all,l2-means,0.1787203103303909,0
cellot,250,all,l2-stds,0.4273777902126312,0
cellot,250,all,r2-means,0.945050828350694,0
cellot,250,all,r2-stds,0.8970740383720652,0
cellot,250,all,r2-pairwise_feat_corrs,0.3845022121221589,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.008832845184952,0
cellot,250,all,enrichment-k50,0.67136,0
cellot,250,all,enrichment-k100,0.65168,0
cellot,250,all,l2-means,0.1346531957387924,0
cellot,250,all,l2-stds,0.4928949177265167,0
cellot,250,all,r2-means,0.9716998007377504,0
cellot,250,all,r2-stds,0.889030568360666,0
cellot,250,all,r2-pairwise_feat_corrs,0.4140819969942055,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0078994386503472,0
cellot,250,all,enrichment-k50,0.63944,0
cellot,250,all,enrichment-k100,0.6164,0
cellot,250,all,l2-means,0.1194304376840591,0
cellot,250,all,l2-stds,0.3930824100971222,0
cellot,250,all,r2-means,0.9755820845022392,0
cellot,250,all,r2-stds,0.9311487437910284,0
cellot,250,all,r2-pairwise_feat_corrs,0.4875462115587141,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0084177657216787,0
cellot,250,all,enrichment-k50,0.63848,0
cellot,250,all,enrichment-k100,0.63716,0
cellot,250,all,l2-means,0.1747873723506927,0
cellot,250,all,l2-stds,0.4262926578521728,0
cellot,250,all,r2-means,0.9543319672852992,0
cellot,250,all,r2-stds,0.9471323741873038,0
cellot,250,all,r2-pairwise_feat_corrs,0.3989141526389435,0
cellot,250,all,l2-pairwise_feat_corrs,3.605737748632044,0
cellot,250,all,mmd,0.0097280818456783,0
cellot,250,all,enrichment-k50,0.67824,0
cellot,250,all,enrichment-k100,0.6472,0
cellot,250,all,l2-means,0.1789262890815735,0
cellot,250,all,l2-stds,0.5145617127418518,0
cellot,250,all,r2-means,0.9486606871748848,0
cellot,250,all,r2-stds,0.8501283384987437,0
cellot,250,all,r2-pairwise_feat_corrs,0.4047719013417023,0
cellot,250,all,l2-pairwise_feat_corrs,,0
cellot,250,all,mmd,0.0079125312925316,0
cellot,250,all,enrichment-k50,0.6476,0
cellot,250,all,enrichment-k100,0.61056,0
cellot,500,all,l2-means,0.1190927326679229,0
cellot,500,all,l2-stds,0.3516598045825958,0
cellot,500,all,r2-means,0.977268357081024,0
cellot,500,all,r2-stds,0.9528302047295102,0
cellot,500,all,r2-pairwise_feat_corrs,0.5402968152249015,0
cellot,500,all,l2-pairwise_feat_corrs,2.748819044778001,0
cellot,500,all,mmd,0.0066428956389427,0
cellot,500,all,enrichment-k50,0.67816,0
cellot,500,all,enrichment-k100,0.66592,0
cellot,500,all,l2-means,0.1114907935261726,0
cellot,500,all,l2-stds,0.4070250391960144,0
cellot,500,all,r2-means,0.9801806534326012,0
cellot,500,all,r2-stds,0.9420851372406216,0
cellot,500,all,r2-pairwise_feat_corrs,0.5712743526188293,0
cellot,500,all,l2-pairwise_feat_corrs,2.6109557432524464,0
cellot,500,all,mmd,0.0074808783340267,0
cellot,500,all,enrichment-k50,0.69188,0
cellot,500,all,enrichment-k100,0.66758,0
cellot,500,all,l2-means,0.1033305525779724,0
cellot,500,all,l2-stds,0.38721564412117,0
cellot,500,all,r2-means,0.9824840323016064,0
cellot,500,all,r2-stds,0.9391421742954624,0
cellot,500,all,r2-pairwise_feat_corrs,0.6020844470878884,0
cellot,500,all,l2-pairwise_feat_corrs,2.51195998035671,0
cellot,500,all,mmd,0.0063580424711108,0
cellot,500,all,enrichment-k50,0.67376,0
cellot,500,all,enrichment-k100,0.66544,0
cellot,500,all,l2-means,0.0864653810858726,0
cellot,500,all,l2-stds,0.4070433676242828,0
cellot,500,all,r2-means,0.9878815301410288,0
cellot,500,all,r2-stds,0.9309928639863904,0
cellot,500,all,r2-pairwise_feat_corrs,0.5693632982656566,0
cellot,500,all,l2-pairwise_feat_corrs,2.5828203640807565,0
cellot,500,all,mmd,0.0072376420348882,0
cellot,500,all,enrichment-k50,0.67868,0
cellot,500,all,enrichment-k100,0.66438,0
cellot,500,all,l2-means,0.1215101778507232,0
cellot,500,all,l2-stds,0.3877007365226745,0
cellot,500,all,r2-means,0.9764181628564504,0
cellot,500,all,r2-stds,0.94498188437263,0
cellot,500,all,r2-pairwise_feat_corrs,0.5493008213529501,0
cellot,500,all,l2-pairwise_feat_corrs,2.7404271110469502,0
cellot,500,all,mmd,0.0073002004111185,0
cellot,500,all,enrichment-k50,0.6852,0
cellot,500,all,enrichment-k100,0.66798,0
cellot,500,all,l2-means,0.1354278773069381,0
cellot,500,all,l2-stds,0.3984372615814209,0
cellot,500,all,r2-means,0.9732066260133846,0
cellot,500,all,r2-stds,0.9482820659903596,0
cellot,500,all,r2-pairwise_feat_corrs,0.6162865514432038,0
cellot,500,all,l2-pairwise_feat_corrs,2.5437859081803675,0
cellot,500,all,mmd,0.0082530472567304,0
cellot,500,all,enrichment-k50,0.69528,0
cellot,500,all,enrichment-k100,0.67622,0
cellot,500,all,l2-means,0.1359592676162719,0
cellot,500,all,l2-stds,0.3649073541164398,0
cellot,500,all,r2-means,0.9746979741915524,0
cellot,500,all,r2-stds,0.9320854409054884,0
cellot,500,all,r2-pairwise_feat_corrs,0.5988360609004101,0
cellot,500,all,l2-pairwise_feat_corrs,,0
cellot,500,all,mmd,0.0056172146718017,0
cellot,500,all,enrichment-k50,0.6452,0
cellot,500,all,enrichment-k100,0.63958,0
cellot,500,all,l2-means,0.1133628785610199,0
cellot,500,all,l2-stds,0.3740569353103637,0
cellot,500,all,r2-means,0.9794879505411488,0
cellot,500,all,r2-stds,0.9364769698032648,0
cellot,500,all,r2-pairwise_feat_corrs,0.578074686232429,0
cellot,500,all,l2-pairwise_feat_corrs,2.619221344609279,0
cellot,500,all,mmd,0.006241891477257,0
cellot,500,all,enrichment-k50,0.66608,0
cellot,500,all,enrichment-k100,0.63924,0
cellot,500,all,l2-means,0.121730275452137,0
cellot,500,all,l2-stds,0.3827099204063415,0
cellot,500,all,r2-means,0.977696226504908,0
cellot,500,all,r2-stds,0.9378636726965508,0
cellot,500,all,r2-pairwise_feat_corrs,0.6120668439765602,0
cellot,500,all,l2-pairwise_feat_corrs,2.478469566899264,0
cellot,500,all,mmd,0.006939507969655,0
cellot,500,all,enrichment-k50,0.67508,0
cellot,500,all,enrichment-k100,0.6489,0
cellot,500,all,l2-means,0.1369936019182205,0
cellot,500,all,l2-stds,0.4287040531635284,0
cellot,500,all,r2-means,0.9719082555047542,0
cellot,500,all,r2-stds,0.9273190193158372,0
cellot,500,all,r2-pairwise_feat_corrs,0.5896070316021694,0
cellot,500,all,l2-pairwise_feat_corrs,2.6246002032478186,0
cellot,500,all,mmd,0.0070004303520545,0
cellot,500,all,enrichment-k50,0.68396,0
cellot,500,all,enrichment-k100,0.65988,0
