ncells,nfeatures,metric,value
100,all,enrichment-k100,0.5566666666666666
100,all,enrichment-k100,0.5545454545454546
100,all,enrichment-k100,0.5693939393939393
100,all,enrichment-k100,0.5219191919191919
100,all,enrichment-k100,0.5667676767676768
100,all,enrichment-k100,0.5415151515151515
100,all,enrichment-k100,0.6013131313131314
100,all,enrichment-k100,0.5995959595959596
100,all,enrichment-k100,0.5688888888888889
100,all,enrichment-k100,0.5695959595959595
250,all,enrichment-k100,0.6032
250,all,enrichment-k100,0.6624
250,all,enrichment-k100,0.6558
250,all,enrichment-k100,0.63792
250,all,enrichment-k100,0.65348
250,all,enrichment-k100,0.65168
250,all,enrichment-k100,0.6164
250,all,enrichment-k100,0.63716
250,all,enrichment-k100,0.6472
250,all,enrichment-k100,0.61056
500,all,enrichment-k100,0.66592
500,all,enrichment-k100,0.66758
500,all,enrichment-k100,0.66544
500,all,enrichment-k100,0.66438
500,all,enrichment-k100,0.66798
500,all,enrichment-k100,0.67622
500,all,enrichment-k100,0.63958
500,all,enrichment-k100,0.63924
500,all,enrichment-k100,0.6489
500,all,enrichment-k100,0.65988
