model,ncells,nfeatures,metric,value,gamma
cellot,100,all,enrichment-k50,0.6102,0
cellot,100,all,enrichment-k50,0.5908,0
cellot,100,all,enrichment-k50,0.5978,0
cellot,100,all,enrichment-k50,0.5426,0
cellot,100,all,enrichment-k50,0.6098,0
cellot,100,all,enrichment-k50,0.5764,0
cellot,100,all,enrichment-k50,0.6616,0
cellot,100,all,enrichment-k50,0.63,0
cellot,100,all,enrichment-k50,0.6164,0
cellot,100,all,enrichment-k50,0.6036,0
cellot,250,all,enrichment-k50,0.62296,0
cellot,250,all,enrichment-k50,0.68368,0
cellot,250,all,enrichment-k50,0.67304,0
cellot,250,all,enrichment-k50,0.66144,0
cellot,250,all,enrichment-k50,0.69456,0
cellot,250,all,enrichment-k50,0.67136,0
cellot,250,all,enrichment-k50,0.63944,0
cellot,250,all,enrichment-k50,0.63848,0
cellot,250,all,enrichment-k50,0.67824,0
cellot,250,all,enrichment-k50,0.6476,0
cellot,500,all,enrichment-k50,0.67816,0
cellot,500,all,enrichment-k50,0.69188,0
cellot,500,all,enrichment-k50,0.67376,0
cellot,500,all,enrichment-k50,0.67868,0
cellot,500,all,enrichment-k50,0.6852,0
cellot,500,all,enrichment-k50,0.69528,0
cellot,500,all,enrichment-k50,0.6452,0
cellot,500,all,enrichment-k50,0.66608,0
cellot,500,all,enrichment-k50,0.67508,0
cellot,500,all,enrichment-k50,0.68396,0
