,model,ncells,nfeatures,metric,value,gamma,mmd
0,cellot,100,all,enrichment-k50,0.6102,0,0.0130103712319396
1,cellot,100,all,enrichment-k50,0.5908,0,0.0131209881720133
2,cellot,100,all,enrichment-k50,0.5978,0,0.0146550564025528
3,cellot,100,all,enrichment-k50,0.5426,0,0.0118419367540627
4,cellot,100,all,enrichment-k50,0.6098,0,0.0149952887790277
5,cellot,100,all,enrichment-k50,0.5764,0,0.0114232400164473
6,cellot,100,all,enrichment-k50,0.6616,0,0.0184238462941721
7,cellot,100,all,enrichment-k50,0.63,0,0.0154257781058549
8,cellot,100,all,enrichment-k50,0.6164,0,0.0140601604268886
9,cellot,100,all,enrichment-k50,0.6036,0,0.0140285160858184
10,cellot,250,all,enrichment-k50,0.62296,0,0.0078316369187086
11,cellot,250,all,enrichment-k50,0.68368,0,0.0102078922884538
12,cellot,250,all,enrichment-k50,0.67304,0,0.0090820643585175
13,cellot,250,all,enrichment-k50,0.66144,0,0.0084584761201404
14,cellot,250,all,enrichment-k50,0.69456,0,0.0101432533888146
15,cellot,250,all,enrichment-k50,0.67136,0,0.008832845184952
16,cellot,250,all,enrichment-k50,0.63944,0,0.0078994386503472
17,cellot,250,all,enrichment-k50,0.63848,0,0.0084177657216787
18,cellot,250,all,enrichment-k50,0.67824,0,0.0097280818456783
19,cellot,250,all,enrichment-k50,0.6476,0,0.0079125312925316
20,cellot,500,all,enrichment-k50,0.67816,0,0.0066428956389427
21,cellot,500,all,enrichment-k50,0.69188,0,0.0074808783340267
22,cellot,500,all,enrichment-k50,0.67376,0,0.0063580424711108
23,cellot,500,all,enrichment-k50,0.67868,0,0.0072376420348882
24,cellot,500,all,enrichment-k50,0.6852,0,0.0073002004111185
25,cellot,500,all,enrichment-k50,0.69528,0,0.0082530472567304
26,cellot,500,all,enrichment-k50,0.6452,0,0.0056172146718017
27,cellot,500,all,enrichment-k50,0.66608,0,0.006241891477257
28,cellot,500,all,enrichment-k50,0.67508,0,0.006939507969655
29,cellot,500,all,enrichment-k50,0.68396,0,0.0070004303520545
