ncells,nfeatures,metric,value
100,all,enrichment-k50,0.6102
100,all,enrichment-k100,0.5566666666666666
100,all,enrichment-k50,0.5908
100,all,enrichment-k100,0.5545454545454546
100,all,enrichment-k50,0.5978
100,all,enrichment-k100,0.5693939393939393
100,all,enrichment-k50,0.5426
100,all,enrichment-k100,0.5219191919191919
100,all,enrichment-k50,0.6098
100,all,enrichment-k100,0.5667676767676768
100,all,enrichment-k50,0.5764
100,all,enrichment-k100,0.5415151515151515
100,all,enrichment-k50,0.6616
100,all,enrichment-k100,0.6013131313131314
100,all,enrichment-k50,0.63
100,all,enrichment-k100,0.5995959595959596
100,all,enrichment-k50,0.6164
100,all,enrichment-k100,0.5688888888888889
100,all,enrichment-k50,0.6036
100,all,enrichment-k100,0.5695959595959595
250,all,enrichment-k50,0.62296
250,all,enrichment-k100,0.6032
250,all,enrichment-k50,0.68368
250,all,enrichment-k100,0.6624
250,all,enrichment-k50,0.67304
250,all,enrichment-k100,0.6558
250,all,enrichment-k50,0.66144
250,all,enrichment-k100,0.63792
250,all,enrichment-k50,0.69456
250,all,enrichment-k100,0.65348
250,all,enrichment-k50,0.67136
250,all,enrichment-k100,0.65168
250,all,enrichment-k50,0.63944
250,all,enrichment-k100,0.6164
250,all,enrichment-k50,0.63848
250,all,enrichment-k100,0.63716
250,all,enrichment-k50,0.67824
250,all,enrichment-k100,0.6472
250,all,enrichment-k50,0.6476
250,all,enrichment-k100,0.61056
500,all,enrichment-k50,0.67816
500,all,enrichment-k100,0.66592
500,all,enrichment-k50,0.69188
500,all,enrichment-k100,0.66758
500,all,enrichment-k50,0.67376
500,all,enrichment-k100,0.66544
500,all,enrichment-k50,0.67868
500,all,enrichment-k100,0.66438
500,all,enrichment-k50,0.6852
500,all,enrichment-k100,0.66798
500,all,enrichment-k50,0.69528
500,all,enrichment-k100,0.67622
500,all,enrichment-k50,0.6452
500,all,enrichment-k100,0.63958
500,all,enrichment-k50,0.66608
500,all,enrichment-k100,0.63924
500,all,enrichment-k50,0.67508
500,all,enrichment-k100,0.6489
500,all,enrichment-k50,0.68396
500,all,enrichment-k100,0.65988
