ncells,nfeatures,metric,mmd,gamma
100,all,mmd,0.0130103712319396,0
100,all,mmd,0.0131209881720133,0
100,all,mmd,0.0146550564025528,0
100,all,mmd,0.0118419367540627,0
100,all,mmd,0.0149952887790277,0
100,all,mmd,0.0114232400164473,0
100,all,mmd,0.0184238462941721,0
100,all,mmd,0.0154257781058549,0
100,all,mmd,0.0140601604268886,0
100,all,mmd,0.0140285160858184,0
250,all,mmd,0.0078316369187086,0
250,all,mmd,0.0102078922884538,0
250,all,mmd,0.0090820643585175,0
250,all,mmd,0.0084584761201404,0
250,all,mmd,0.0101432533888146,0
250,all,mmd,0.008832845184952,0
250,all,mmd,0.0078994386503472,0
250,all,mmd,0.0084177657216787,0
250,all,mmd,0.0097280818456783,0
250,all,mmd,0.0079125312925316,0
500,all,mmd,0.0066428956389427,0
500,all,mmd,0.0074808783340267,0
500,all,mmd,0.0063580424711108,0
500,all,mmd,0.0072376420348882,0
500,all,mmd,0.0073002004111185,0
500,all,mmd,0.0082530472567304,0
500,all,mmd,0.0056172146718017,0
500,all,mmd,0.006241891477257,0
500,all,mmd,0.006939507969655,0
500,all,mmd,0.0070004303520545,0
